symbol,name
NA,NovelAI
WD,Waifu Diffusion
SD,Stable Diffusion
TA,TrinArt
MJ,Midjourney
D2,Dalle-2
Ev,Ernie-vilg
UD,Unstable Diffusion
HD,Hentai Diffusion
CM,Custom Model
NJ,niji・journey
A3,Anything3
MA,Meitu AI Painting
RV,Rivera
HR,Holara
AC,ACertainThing
A4,Anything4
CF,CounterfeitV2
