コースの種類	学べる内容
1	Webデザイナー入門コース	Photoshop、Illustrator
2	Webデザイナーコース	言語(HTML/CSS、JavaScript)、コーディング、Photoshop、Illustrator
3	Webデザイナー総合コース	言語(HTML/CSS、JavaScript)、コーディング、Photoshop、Illustrator、Webサイト制作実践、レスポンシブWebデザイン
4	Webディベロッパーコース	言語(HTML/CSS、JavaScript、PHP)、コーディング、Photoshop、Illustrator、Webサイト制作実践、レスポンシブWebデザイン
5	Webデザイナー検定コース	言語(HTML/CSS、JavaScript)、コーディング、Photoshop、Illustrator、Webクリエイター資格対策
6	Webデザイナー転身コース	言語(HTML/CSS、JavaScript)、コーディング、Webサイト制作実践、レスポンシブWebデザイン
