コースの種類	学べる内容
1	Webディレクターコース	言語(HTML/CSS、JavaScript)、コーディング、Photoshop、Illustrator、Webサイト制作実践、レスポンシブWebデザイン、企画立案、ディレクション
2	Web担当者コース	言語(HTML/CSS、JavaScript)、コーディング、Photoshop、SEO、Web広告、アクセス解析、SNSマーケティング
3	Webプロデューサーコース	言語(HTML/CSS、JavaScript、PHP)、コーディング、セキュリティ、データベース、Linux、企画立案、ディレクション、SEO、Web広告、アクセス解析、SNSマーケティング
4	ECサイト運用コース	言語(HTML/CSS、JavaScript、PHP)、コーディング
