コース名	料金(分割料金)	学べるスキル/内容
1	デザインコース	20万9,000円~(36回払い：約5,500円~)
※Webデザイナー入門コースの場合	言語(HTML/CSS、JavaScript)、デザインツール(Photoshop、Illustrator)、Webサイト制作 など
2	マーケティングコース	60万5,660円~(36回払い：約1万8,150円~)
※Web担当者コースの場合	広告運用(Google広告、Yahoo広告)、マーケティングツール(Google Analytics)、プロジェクトマネジメント、WordPress、言語(HTML/CSS、JavaScript) など
3	プログラミングコース	20万9,000円~(36回払い：約5,500円~)
※プログラマー入門コースの場合	言語(HTML/CSS、JavaScript、PHP、Java、Pythonなど)、セキュリティ、データベース、サーバー(Linux) など
