"種別","概要","主な活用例"
"戦略的インテリジェンス","経営層向けにセキュリティ対策の意思決定のために利用する","・セキュリティロードマップ策定 ・セキュリティ投資の意思決定 …など"
"統制的インテリジェンス","セキュリティ管理者向けにセキュリティポリシーやガバナンス向上のために利用する","・リスクアセスメント ・ペネトレーションテスト …など"
"戦術的インテリジェンス （※1）","SOCやCSIRTなど現場向けのセキュリティ対策のため利用する","・セキュリティアプライアンスへの情報連携 ・スレットハンティング ・インシデントレスポンス …など"
