"脅威情報種別","何が分かる？"
"ダークウェブ／ディープウェブ情報","・分析対象企業の業界動向"
"","・分析対象企業を狙う攻撃グループの情報"
"","・攻撃グループの攻撃手法（TTPs）"
"漏洩情報","・認証情報"
"","・機密情報"
"","・メールアドレス"
"IoC情報","・マルウェアのハッシュ値"
"","・C2サーバ情報"
"フィッシング情報","・フィッシングドメイン情報"
"","・類似ドメイン情報"
"","・SNSなりすましアカウント情報"
"脆弱性情報","・外部公開システムの脆弱性情報"
"サプライチェーン情報","・OSINTによる企業のリスク判断"
